date_collected,site,tree,quadrat,total_mass,s1_weight,s1_count,s2_weight,s2_count,s3_weight,s3_count,s4_weight,s4_count,s5_weight,s5_count,notes,,,,,,,,,,
01/02/2024,glimmer,1,1,62,1.19,40,1.13,62,1.16,17,1.4,38,1.03,42,,,,,,,,,,,
01/02/2024,glimmer,1,2,91,1.22,54,1.48,57,1.2,53,1.14,43,1.14,47,,,,,,,,,,,
01/02/2024,glimmer,1,3,152,1.29,78,1.04,80,1.01,75,1.43,50,1.25,80,,1.28,87,1.02,88,1.1,83,1.33,98,1.27,68
01/02/2024,glimmer,1,4,63,1.09,74,1.01,92,1.16,75,1.06,62,1.09,89,,,,,,,,,,,
01/02/2024,glimmer,1,5,86,1.11,54,1.33,38,1.29,59,1.45,62,1.2,65,,,,,,,,,,,
01/02/2024,glimmer,2,1,113,1.34,2,1.05,1,1.14,8,1.2,3,1.02,12,,,,,,,,,,,
01/02/2024,glimmer,2,2,61,1.3,3,1.05,6,1.34,4,1.14,7,1.17,8,,,,,,,,,,,
01/02/2024,glimmer,2,3,14,1.46,0,1.31,1,1.04,0,1.06,1,1.41,0,,,,,,,,,,,
01/02/2024,glimmer,2,4,72,1.25,3,1.04,2,1.1,5,1.19,3,1.13,0,,1.23,4,1.36,0,1.08,2,1.14,1,1.08,3
01/02/2024,glimmer,2,5,94,1.24,9,1.24,4,1.22,10,1.29,7,1.36,7,,,,,,,,,,,
01/02/2024,glimmer,3,1,57,1.2,75,1.04,60,1.17,78,1.14,42,1.29,61,,,,,,,,,,,
01/02/2024,glimmer,3,2,85,1.17,28,1.23,32,1.28,18,1.23,12,1.44,38,,1.21,36,1.33,26,1.13,25,1.34,31,1.31,22
01/02/2024,glimmer,3,3,107,1.18,20,1.1,34,1.26,37,1.07,37,1.32,27,,,,,,,,,,,
01/02/2024,glimmer,3,4,83,1.45,3,1.29,2,1.14,10,1.32,3,1.38,12,,,,,,,,,,,
01/02/2024,glimmer,3,5,125,1.44,26,1.12,24,1.07,24,1.28,32,1.41,8,,,,,,,,,,,
01/03/2024,wade,1,1,183,1.22,46,1.06,33,1.35,8,1.12,50,1.32,9,,,,,,,,,,,
01/03/2024,wade,1,2,206,1.27,18,1.15,50,1.38,5,1.5,48,1.33,12,,,,,,,,,,,
01/03/2024,wade,1,3,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,,,,,,,,,
01/03/2024,wade,2,1,400,1.37,5,1.19,17,1.26,11,1.29,36,1.29,13,,,,,,,,,,,
01/03/2024,wade,2,2,393,1.1,12,1.27,25,1.21,14,1.22,16,1.5,11,,,,,,,,,,,
01/03/2024,wade,2,3,242,1.18,37,1.15,42,1.15,61,1.23,47,1.26,30,,,,,,,,,,,
01/03/2024,wade,3,4,100,1.16,13,1.04,7,1.13,27,1.11,21,1.12,35,,,,,,,,,,,
01/03/2024,wade,3,5,302,1.43,13,1.46,25,1.33,23,1.01,13,1.05,31,,,,,,,,,,,
01/03/2024,wade,3,6,188,1.19,31,1.07,20,1.14,34,1.31,13,1.36,17,,,,,,,,,,,
01/03/2024,wade,4,1 south,124,1.41,3,1.14,2,1.24,5,1.11,5,1.24,2,,,,,,,,,,,
01/03/2024,wade,4,1 west,85,1.23,14,1.3,6,1.26,17,1.19,21,1.08,16,,,,,,,,,,,
01/03/2024,wade,4,3 east,217,1.24,14,1.14,7,1.09,20,1.12,13,1.2,2,,,,,,,,,,,
01/03/2024,wade,4,3 north,0,0,0,0,0,0,0,0,0,0,0,"no cones in quadrat, no twigs harvested",,,,,,,,,,
01/03/2024,wade,5,4,416,1.24,54,1.03,41,1.39,90,1.23,62,1.18,44,,1.11,68,1.31,28,1.08,62,1.46,63,1.04,60
01/03/2024,wade,5,5,764,1.27,63,1.07,34,1.32,51,1.13,50,1.27,26,,,,,,,,,,,
01/03/2024,wade,5,6,383,1.35,16,1.1,6,1.11,17,1.02,22,1.15,13,,,,,,,,,,,
01/04/2024,cell tower,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,,,,,,,,,
01/04/2024,cell tower,1,6,45,0,0,0,0,0,0,0,0,0,0,no cones,,,,,,,,,,
01/04/2024,cell tower,1,7,88,1.24,5,1.09,2,1.27,1,1.3,0,1.14,2,1 aborted cone in s5,,,,,,,,,,
01/04/2024,cell tower,1,8,30,1.06,2,1.17,5,1.12,4,1.11,0,1.19,3,,,,,,,,,,,
01/04/2024,cell tower,2,1,106,1.17,16,1.47,17,1.36,12,1.25,5,1.48,13,,,,,,,,,,,
01/04/2024,cell tower,2,2,114,1.45,5,1.42,1,1.16,1,1.29,4,1.06,3,1 aborted cone in s5,,,,,,,,,,
01/04/2024,cell tower,2,3,208,1.37,23,1.08,19,1.15,17,1.37,10,1.17,17,,,,,,,,,,,
01/04/2024,cell tower,2,4,60,1.43,32,1.23,9,1.37,33,1.15,26,1.37,25,,,,,,,,,,,
01/04/2024,cell tower,3,1,144,1.55,58,1.11,27,1.44,30,1.28,54,1.22,20,,,,,,,,,,,
01/04/2024,cell tower,3,2,49,1.43,0,1.49,0,1.26,1,1.2,0,1.01,0,1 aborted cone in s2,,,,,,,,,,
01/04/2024,cell tower,3,3,126,1.35,4,1.34,7,1.2,3,1.26,0,1.09,2,,,,,,,,,,,
01/04/2024,cell tower,3,4,44,1.23,15,1.12,8,1.34,14,1.23,16,1.18,22,,,,,,,,,,,
01/04/2024,cell tower,4,5,209,1.02,3,1.07,10,1.2,6,1.43,8,1.25,10,,,,,,,,,,,
01/04/2024,cell tower,4,6,243,1.4,8,1.17,11,1.29,7,1.28,8,1.31,4,,,,,,,,,,,
01/04/2024,cell tower,4,7,110,1.14,9,1.3,6,1.32,13,1.32,19,1.22,12,,,,,,,,,,,
01/04/2024,cell tower,4,8,73,1.22,3,1.14,3,1.23,2,1.18,4,1.44,2,,1.09,14,1.25,4,1.11,8,1.02,3,1.1,0
01/05/2024,cathedral,1,1,86,1.45,38,1.18,28,1.36,18,1.13,18,1.28,22,,,,,,,,,,,
01/05/2024,cathedral,1,2,205,1.39,0,1.09,0,1.21,0,1.07,0,1.12,1,,,,,,,,,,,
01/05/2024,cathedral,1,3,162,1.3,3,1.31,5,1.01,5,1.21,11,1.43,2,,,,,,,,,,,
01/05/2024,cathedral,1,4,185,1.31,2,1.08,1,1.13,1,1.19,1,1.32,0,,,,,,,,,,,
01/05/2024,cathedral,2,5,95,1.05,21,1.1,36,1.18,16,1.29,20,1.24,23,,,,,,,,,,,
01/05/2024,cathedral,2,6,157,1.16,17,1.19,17,1.32,11,1.15,9,1.29,24,,,,,,,,,,,
01/05/2024,cathedral,2,7,47,1.19,26,1.27,28,1.38,27,1.25,50,1.13,33,,,,,,,,,,,
01/05/2024,cathedral,2,8,180,1.34,7,1.11,5,1.26,14,1.17,1,1.25,10,,1.02,3,1.19,8,1.34,8,1.23,8,1.33,17
01/05/2024,cathedral,3,1,24,1.07,31,1.21,27,1.35,35,1.45,50,1.23,20,this tree had more scales in the samples than usual so tried to visually represent scales as cones and count them that way,,,,,,,,,,
