PLOTID;VISIT_NBR;STATECD;UNITCD;COUNTYCD;RETIRED_PLOT;SUBP;CONDID;TREE;STEM;OFFSET_POINT;DIST;AZIMUTH;STATUSCD;TREECLCD;TPA_UNADJ;SPCD;SPGRPCD;STANDING_DEAD_CD;MORTYR;DIA;DIACHECK;DIAHTCD;LTDMP;TOTAL_LENGTH;ACTUAL_LENGTH;HTCD;ABNORMAL_STEM_TERMINATION;RECONCILECD;BOLE_STUMP_REMOVED;FIELD_PREV_DIA;FIELD_PREV_STATUS_CD;FIELD_PREV_NBR_STEMS;CROWN_DIEBACK_CD;CROWN_LIGHT_EXPOSURE;UNCOMP_CROWN_RATIO;CROWN_DIA_WIDE;CROWN_DIA_90;FOLIAGE_ABSENT;CROWN_CLASS_CD;COMP_CROWN_RATIO;IS_MAINTAINED_AREA;IS_RIPARIAN;IS_STREET_TREE;IS_PLANTED;DMG_ROOT_STEM_GIRDLING;DMG_TRUNK_BARK_INCLUSION;DMG_TOPPING_PRUNING;DMG_EXCESS_MULCH;DMG_SIDEWALK_ROOT_CONFLICT;DMG_OVERHEAD_WIRES;DMG_IMPROPER_PLANTING;DAMAGE_AGENT_1;DAMAGE_AGENT_2;DAMAGE_AGENT_3;NBR_STEMS;CULL_FLD;CAUSE_OF_DEATH;DECAYCD;MORTALITY_CD;TREECLCD_NRS;TREECLCD_SRS;TREECLCD_PNWRS;TREECLCD_RMRS;TREE_GRADE;MOTHER_TREE;BASAL_AREA;BF_GROSS_SAWLOG_VOLUME;BF_NET_SAWLOG_VOLUME;CF_GROSS_SAWLOG_VOLUME;CF_GROSS_VOLUME;CF_NET_SAWLOG_VOLUME;CF_NET_VOLUME;CF_SND_SAWLOG_VOLUME;CF_SND_VOLUME;DRY_TOT_BIOMASS;DRY_MERCH_BIOMASS;BOLE_BIOMASS;STUMP_BIOMASS;TOP_BIOMASS;SAWLOG_BIOMASS;SAPLING_BIOMASS;WDLD_BIOMASS;BG_BIOMASS;AG_CARBON;BG_CARBON;CN;PLT_CN;SBP_CN;CND_CN;MTRE_CN;PREV_PLT_CN;PREV_TRE_CN;TREE_SITE_INDEX
1114719;1;48;5;453;196;1;1;1;0;0;24.0;3;1;3;6.018046285662292;61;23;;;08.lut;0;2;;32;;1;;;;;;;5;2;45;12.0;12.0;45;3;28;0;1;;;;;;;;;;;;;1;0;;;;;3;;;;;0.36672696;;;;5.17604304797696;;5.17604304797696;;5.17604304797696;208.32520240206082;125.73563085648755;;;;;;143.40537827003047;33.18311423237061;71.70268913501523;16.591557116185307;144839;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;2;0;0;44.0;5;2;3;6.018046285662292;61;23;1;;17.cze;0;2;;32;;1;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;1;10;;1;;;;;;;;1.68943104;;;;30.227931645688017;;27.205138481119214;;27.205138481119214;1033.8150220830744;726.2266207866209;;;;;;753.7346847024966;170.20699042397138;376.8673423512483;85.10349521198569;144840;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;3;0;0;09.sty;10;1;3;6.018046285662292;61;23;;;11.maj;0;2;;33;;1;;;;;;;5;1;50;26.0;19.0;15;3;35;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;0.7212915;;;;11.9354802902875;;11.9354802902875;;11.9354802902875;450.3200110131507;303.8824001472964;;;;;;330.67964273058936;75.5125122223606;165.33982136529468;37.7562561111803;144841;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;4;0;0;48.0;16;1;3;6.018046285662292;61;23;;;09.sty;0;2;;32;;1;;;;;;;5;2;30;17.0;16.0;30;3;29;0;1;;;;;;;;;;;;;1;0;;;;;3;;;;;0.45164574;;;;6.57398124333056;;6.57398124333056;;6.57398124333056;259.6220750309057;162.19316270767646;;;;;;182.13609473521916;41.952324237858235;91.06804736760958;20.976162118929118;144842;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;5;0;0;44.4;16;1;3;6.018046285662292;61;23;;;8.0;0;2;;30;;1;;;;;;;10;0;65;23.0;10.0;45;4;26;0;1;;;;;;;;;;22500;;;1;3;;;;;3;;;;;0.349056;;;;4.55059456;;4.4140767232;;4.4140767232;185.89747685186128;106.81549219160348;;;;;;122.29464406228992;28.331193277792483;61.14732203114496;14.165596638896242;144843;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;6;0;0;26.sie;18;1;3;6.018046285662292;61;23;;;12.sty;0;2;;32;;1;;;;;;;5;3;50;19.0;15.0;30;3;30;0;1;;;;;;;;;;22500;;;1;2;;;;;3;;;;;0.79852014;;;;13.03393971685376;;12.773260922516684;;12.773260922516684;489.61429097963327;327.25924801202757;;;;;;353.89085781487825;80.6829024888964;176.94542890743912;40.3414512444482;144844;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;7;0;0;24.lut;21;1;3;6.018046285662292;61;23;;;07.kwi;0;2;;32;;1;;;;;;;10;3;45;16.0;13.0;35;3;30;0;1;;;;;;;;;;;;;1;0;;;;;3;;;;;0.29866104;;;;4.10765856260096;;4.10765856260096;;4.10765856260096;168.49459656704525;98.16295636521545;;;;;;113.80514507199716;26.467152711468856;56.90257253599858;13.233576355734428;144845;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;8;0;0;33.5;30;1;3;6.018046285662292;61;23;;;06.mar;0;2;;13;;1;;;;;;;85;0;35;3.0;1.0;90;5;5;0;1;;;;;;;;;;22500;;;4;9;;;;;3;;;;;0.21646926;;;;0.94301258663499;;0.8581414538378409;;0.8581414538378409;37.659983529253076;14.555349848281812;;;;;;23.775323863449685;5.580102166562817;11.887661931724843;2.7900510832814085;144846;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;9;0;0;31.sie;39;1;3;6.018046285662292;61;23;;;06.mar;0;2;;30;;1;;;;;;;20;2;70;18.0;12.0;42;3;37;0;1;;;;;;;;;;22500;;;1;3;;;;;3;;;;;0.21646926;;;;2.683662567646;;2.60315269061662;;2.60315269061662;114.75115558464785;60.48822922148023;;;;;;72.12190718514783;16.92711371049616;36.06095359257392;8.46355685524808;144847;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;10;0;0;27.lut;52;1;3;6.018046285662292;61;23;;;31.maj;0;2;;34;;1;;;;;;;10;4;55;28.0;26.0;35;3;36;0;0;;;;;;;;;;22500;22000;;5;30;;;;;3;;;;;5.4117315;;;;77.82504453699627;;54.4775311758974;;54.4775311758974;2277.792037436267;1408.201154711074;;;;;;1509.3326877469428;337.7283422985294;754.6663438734714;168.8641711492647;144848;2,51083E+14;144830;144829;;;;
