date_collected,site,tree_n,bag_weight,total_wet_weight,twig_wet_weight,foliage_wet_weight,cones_wet_weight,date_oven,twig_dry_weight_bag,twig_dry_weight_nobag,foliage_dry_weight_bag,foliage_dry_weight_nobag,cone_dry_weight,
1/12/2025,cell tower,8,texas tough,72.74,17.58,44.93,NA,1/23/2025,,,,,,
,,9,texas tough,69.14,15.93,43.45,NA,1/23/2025,,,,25.47,,10 written on bag and crossed out
,,10,texas tough,94.95,26.18,58,0.171,1/23/2025,,,,,0.097,9 written on bag not crossed out
1/12/2025,wade,7,texas tough,79.09,8.99,60.56,NA,1/23/2025,,,,,,only aborted cones in bags so couldn't do weight of cones
,,8,texas tough,82.39,12.61,58.57,NA,1/24/2025,,,,,,
,,10,texas tough,90.64,25.79,54.25,NA,1/24/2025,,,,,,
1/13/2025,gun,6,texas tough,79.75,11.73,49.93,7.27,1/23/2025,,,,,,
,,7,texas tough,93.19,13.84,68.15,NA,1/23/2025,,,,,,
,,8,texas tough,81.61,19.81,51.81,NA,1/23/2025,,12.39,,,,
,,9,texas tough,78.29,22.56,45.79,NA,1/23/2025,,,,,,
,,10,texas tough,87,15.72,60.88,NA,1/23/2025,,,,,,
1/13/2025,rocky,1,texas tough,83.38,22.86,50.14,NA,1/24/2025,,,,,,lots of moss/lichen on twigs
,,2,texas tough,80.89,23.28,48.42,NA,1/24/2025,,,,,,
,,3,texas tough,87.81,18.99,54.1,4.16,1/24/2025,,,,,,
1/15/2025,sweeten,1,ziploc,87.03,13.27,63.1,NA,1/24/2025,,7.81,,,,
,,2,ziploc,93.36,15.5,66.24,0.63,1/24/2025,,8.76,,,,
,,3,ziploc,88.8,22.97,53.78,NA,1/24/2025,,14.07,,,,
,,4,ziploc,83.46,12.52,60.15,NA,1/25/2025,,,40.93,33.69,,
,,5,ziploc,97.44,18.85,68.22,NA,1/25/2025,18.44,,44.3,37.05,,5.1
,,5,ziploc,63.47,20.61,32.63,NA,1/25/2025,20.13,12.88,,,,5.2
,,5,ziploc,91.5,15.36,66.34,NA,1/28/2025,,,,,,5.3
,,5,ziploc,74.81,16.99,47.19,NA,1/28/2025,17.47,10.23,,,,5.4
,,5,ziploc,73.71,12.73,50.69,NA,1/28/2025,,,,,,5.5
,,6,ziploc,83.24,11.99,59.62,NA,1/28/2025,,,,,,
,,7,ziploc,80.28,14.98,52.97,NA,1/28/2025,,,,,,
,,8,ziploc,90.75,15.93,64.73,NA,1/28/2025,17.2,9.94,43.81,,,
,,9,ziploc,78.14,9.32,57.27,NA,1/28/2025,,,38.47,,,
,,10,ziploc,89.41,9.67,68.74,NA,1/28/2025,13.1,5.89,45.66,38.38,,10.1
,,10,ziploc,79.12,10.91,56.72,NA,1/28/2025,,,,,,10.2
,,10,ziploc,68.74,11.48,46.72,NA,1/28/2025,14.43,,,,,10.3
,,10,ziploc,88.39,14.12,63.69,NA,1/28/2025,,,43.8,,,10.4
,,10,ziploc,87.52,9.85,66.67,NA,1/28/2025,,,,,,10.5
,,11,ziploc,92.68,15.38,65.84,NA,1/28/2025,,,44.21,,,
1/15/2025,sonora,1,ziploc,91.23,11.99,68.58,NA,1/28/2025,,,46.72,39.4,,
,,2,ziploc,85.87,10.47,65.04,NA,1/28/2025,,,44.2,,,
,,3,ziploc,80.56,10.29,60.85,NA,1/28/2025,,,,,,lots of aborted cones
,,4,ziploc,81.4,13.87,56.09,NA,1/28/2025,,,39.8,32.59,,
,,5,ziploc,69.09,15.31,43.56,NA,1/28/2025,17.23,9.97,32.61,,,5.1
,,5,ziploc,87.86,8.33,68.76,NA,1/28/2025,,,45.8,38.55,,5.2
,,5,ziploc,67.54,31.85,25.42,NA,1/28/2025,,,22.82,15.51,,5.3
,,5,ziploc,62.3,15.35,36.58,NA,1/28/2025,16.37,,27.76,20.45,,5.4
,,5,ziploc,89.55,18.62,60.56,NA,1/28/2025,18.98,11.77,43.33,,,"5.5, all aborted cones"
,,6,ziploc,91.56,9.24,71.2,NA,1/28/2025,12.8,,46.13,,,
,,7,ziploc,88.89,13.48,64.22,NA,1/28/2025,15.39,,44.04,,,
,,8,ziploc,80.64,21.18,48.52,NA,1/30/2025,,,,,,
,,9,ziploc,63.9,7.98,46.15,NA,1/30/2025,,,,,,
,,10,ziploc,84.34,16.18,57.34,NA,1/30/2025,,,,,,
,,10,ziploc,87.33,18.98,57.23,NA,1/30/2025,,,,,,
,,10,ziploc,90.05,15.3,63.7,NA,1/30/2025,,,,,,
,,10,ziploc,88.16,21.75,55.39,NA,1/30/2025,,,,,,half aborted cones
,,10,ziploc,87.75,23.26,53.6,NA,1/30/2025,,,,,,
,,11,ziploc,88.04,7.78,67.03,1.86,1/30/2025,,,,,,lots of cones
1/16/2025,kimble,1,ziploc,66.47,15.12,40.03,NA,1/30/2025,,,,,,
,,2,ziploc,57.26,8.32,38.28,NA,1/30/2025,,,,,,
,,3,ziploc,65.17,12.47,41.43,NA,1/30/2025,,,,,,
,,4,ziploc,85.04,10.81,63.03,NA,1/30/2025,,,,,,
,,5,ziploc,91.75,18.5,61.47,NA,1/30/2025,,,,,,
